NUM VERTICES,SMLVO, SMODL, welshpowell,largestoriginaldegreelast, largestlast, uniformrandom
277,0.154582,0.0775085,0.0898854,0.0768484,0.155612,0.0765115
278,0.157488,0.0781721,0.0899945,0.077532,0.157658,0.0773705
279,0.158464,0.0788217,0.0915415,0.0784847,0.161206,0.0781545
280,0.160517,0.0796726,0.0920777,0.0790927,0.162312,0.0787566
281,0.165459,0.0803581,0.0931114,0.0800717,0.159762,0.0794111
282,0.167221,0.0812783,0.0940043,0.0810189,0.171587,0.080632
283,0.164806,0.082194,0.0950133,0.0821516,0.165805,0.0812942
284,0.170424,0.0831013,0.0959041,0.0827971,0.172659,0.0818903
285,0.172078,0.0834522,0.096545,0.0835579,0.176696,0.0823125
286,0.170667,0.0842451,0.0972655,0.0839867,0.169112,0.0839599
287,0.179373,0.0851549,0.0984014,0.0848205,0.174549,0.0842697
288,0.173177,0.0858498,0.0997157,0.0855268,0.193577,0.0850561
289,0.18217,0.0868517,0.0999192,0.086742,0.185067,0.0858111
290,0.177574,0.0872705,0.10085,0.087235,0.176097,0.0865843
291,0.180386,0.0884547,0.10264,0.0883406,0.185421,0.0872715
292,0.186778,0.0891806,0.102498,0.0894288,0.189659,0.0880675
293,0.189991,0.0897443,0.103864,0.0892284,0.180359,0.0900065
294,0.184292,0.090767,0.104581,0.0906394,0.196888,0.0937468
295,0.199383,0.0913215,0.105373,0.0912596,0.184394,0.0904852
296,0.186785,0.0923958,0.1065,0.0922725,0.190345,0.0915157
297,0.197784,0.0930163,0.107181,0.0928061,0.194814,0.0922045
298,0.190693,0.0937665,0.10799,0.093836,0.200039,0.0930503
299,0.200989,0.0949045,0.109193,0.0945902,0.191005,0.0947017
300,0.204525,0.0955277,0.11017,0.0952356,0.194222,0.0945566
301,0.212432,0.0969711,0.110719,0.0964376,0.200227,0.0960478
302,0.200126,0.0983116,0.11201,0.097123,0.210011,0.0963041
303,0.209376,0.0982515,0.112961,0.0978374,0.203016,0.0970612
304,0.210393,0.0990416,0.113698,0.0990926,0.201595,0.0983165
305,0.211086,0.10026,0.114834,0.0994634,0.211822,0.0992601
306,0.203827,0.100596,0.115871,0.100379,0.211687,0.100213
307,0.216086,0.101939,0.116282,0.101792,0.214195,0.100864
308,0.221994,0.102818,0.117619,0.102351,0.210701,0.102311
309,0.222818,0.103054,0.118307,0.102825,0.211212,0.10242
310,0.217047,0.103909,0.119237,0.105998,0.211294,0.103798
311,0.228462,0.105078,0.120113,0.104539,0.216642,0.104576
312,0.218031,0.105585,0.12129,0.105675,0.21533,0.105321
313,0.216521,0.106705,0.122189,0.106368,0.224237,0.106642
314,0.221791,0.107401,0.123222,0.107313,0.219307,0.107112
315,0.218774,0.108299,0.124143,0.108373,0.222434,0.107751
316,0.232855,0.109357,0.125107,0.109004,0.236164,0.108579
317,0.240263,0.110358,0.126024,0.110411,0.241912,0.10968
318,0.229281,0.111346,0.127868,0.110731,0.233956,0.110635
319,0.237727,0.111907,0.127878,0.1118,0.24144,0.111726
